INDEX,CWE_ID,CWE_NAME,CWE_DESCRIPTION,CWE_PLATFORMS
0,1004,Sensitive Cookie Without 'HttpOnly' Flag,"The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",Not Language-Specific
1,102,Struts: Duplicate Validation Forms,"The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.",Java
2,1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.",JavaScript
3,1023,Incomplete Comparison with Missing Factors,"The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",Not Language-Specific
4,1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",Not Language-Specific
5,103,Struts: Incomplete validate() Method Definition,"The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",Java
6,104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",Java
7,1041,Use of Redundant Code,"The product has multiple functions, methods, procedures, macros, etc. that
					contain the same code.",Not Language-Specific
8,105,Struts: Form Field Without Validator,"The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",Java
9,106,Struts: Plug-in Framework not in Use,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",Java
10,1061,Insufficient Encapsulation,"The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",
11,1069,Empty Exception Block,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",Not Language-Specific
12,107,Struts: Unused Validation Form,An unused validation form indicates that validation logic is not up-to-date.,Java
13,1071,Empty Code Block,"The source code contains a block that does not contain any code, i.e., the block is empty.",
14,1078,Inappropriate Source Code Style or Formatting,"The source code does not follow
				desired style or formatting for indentation, white
				space, comments, etc.",
15,109,Struts: Validator Turned Off,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",Java
16,11,ASP.NET Misconfiguration: Creating Debug Binary,Debugging messages help attackers learn about the system and plan a form of attack.,ASP.NET
17,110,Struts: Validator Without Form Field,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,Java
18,1105,Insufficient Encapsulation of Machine-Dependent Functionality,"The product or code uses machine-dependent functionality, but
					it does not sufficiently encapsulate or isolate this functionality from
					the rest of the code.",
19,111,Direct Use of Unsafe JNI,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.",Java
20,1116,Inaccurate Comments,"The source code contains comments that do not accurately
					describe or explain aspects of the portion of the code with which the comment is
					associated.",Not Language-Specific
21,112,Missing XML Validation,The product accepts XML from an untrusted source but does not validate the XML against the proper schema.,Not Language-Specific
22,113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),"The product receives data from an HTTP agent/component (e.g., web server, proxy, browser, etc.), but it does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers.",Not Language-Specific
23,114,Process Control,Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker.,Not Language-Specific
24,116,Improper Encoding or Escaping of Output,"The product prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved.",Not Language-Specific
25,1164,Irrelevant Code,"The product contains code that is not essential for execution,
	     i.e. makes no state changes and has no side effects that alter
	     data or control flow, such that removal of the code would have no impact
	     to functionality or correctness.",
26,117,Improper Output Neutralization for Logs,The product does not neutralize or incorrectly neutralizes output that is written to logs.,Not Language-Specific
27,1177,Use of Prohibited Code,"The product uses a function, library, or third party component
	     that has been explicitly prohibited, whether by the developer or
	     the customer.",
28,1188,Initialization of a Resource with an Insecure Default,"The product initializes or sets a resource with a default that is intended to be changed by the administrator, but the default is not secure.",
29,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,"The product performs operations on a memory buffer, but it reads from or writes to a memory location outside the buffer's intended boundary. This may result in read or write operations on unexpected memory locations that could be linked to other variables, data structures, or internal program data.","C, C++, Assembly"
30,1191,On-Chip Debug and Test Interface With Improper Access Control,The chip does not implement or does not correctly perform access control to check whether users are authorized to access internal registers and test modes through the physical debug/test interface.,Not Language-Specific
31,12,ASP.NET Misconfiguration: Missing Custom Error Page,An ASP .NET application must enable custom error pages in order to prevent attackers from mining information from the framework's built-in responses.,ASP.NET
32,120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.","C, C++, Assembly"
33,1204,Generation of Weak Initialization Vector (IV),"The product uses a cryptographic primitive that uses an Initialization
			Vector (IV), but the product does not generate IVs that are
			sufficiently unpredictable or unique according to the expected
			cryptographic requirements for that primitive.
			",Not Language-Specific
34,1209,Failure to Disable Reserved Bits,"The reserved bits in a hardware design are not disabled prior to production. Typically, reserved bits are used for future capabilities and should not support any functional logic in the design.   However, designers might covertly use these bits to debug or further develop new capabilities in production hardware. Adversaries with access to these bits will write to them in hopes of compromising hardware state.",Not Language-Specific
